database,inat.id,date,latitude,longitude,morph.class
iNaturalist,392332,9/9/2013,40.733754,-73.978773,gray
iNaturalist,392803,8/29/2013,41.920451,-87.632992,gray
iNaturalist,393510,9/10/2013,42.38899167,-71.133925,gray
iNaturalist,393660,9/10/2013,37.372015,-122.092266,gray
iNaturalist,393879,9/9/2013,34.304238,-83.821989,gray
iNaturalist,393964,8/30/2013,40.741678,-73.987915,gray
iNaturalist,394013,9/10/2013,34.30299201,-83.82231513,gray
iNaturalist,394473,9/9/2013,34.303006,-83.822448,gray
iNaturalist,395388,9/12/2013,37.372015,-122.092266,gray
iNaturalist,396639,9/12/2013,40.81781911,-73.94930167,gray
iNaturalist,397364,9/14/2013,37.372015,-122.092266,gray
iNaturalist,398253,4/30/2006,40.775602,-73.971741,gray
iNaturalist,398520,9/15/2013,40.76732397,-73.97579669,gray
iNaturalist,398800,9/14/2013,43.657409,-70.271183,gray
iNaturalist,400506,9/16/2013,37.372015,-122.092266,gray
iNaturalist,400867,9/17/2013,34.30447332,-83.82293348,gray
iNaturalist,401612,9/18/2013,42.38932833,-71.13476667,gray
iNaturalist,402095,9/18/2013,37.520833,-77.5275,gray
iNaturalist,402188,9/15/2013,39.39282608,-76.987854,gray
iNaturalist,402438,9/18/2013,37.372015,-122.092266,melanic
iNaturalist,403255,9/20/2013,42.260984,-84.953757,melanic
iNaturalist,405845,9/10/2013,37.246889,-121.9363,melanic
iNaturalist,411922,9/28/2013,34.486634,-79.195598,gray
iNaturalist,420377,10/6/2013,38.953359,-75.933802,gray
iNaturalist,424636,10/9/2013,37.235946,-121.972403,gray
iNaturalist,427617,10/13/2013,45.003462,-72.206337,gray
iNaturalist,427780,10/12/2013,36.175137,-86.551983,gray
iNaturalist,429225,10/13/2013,40.62074,-73.822364,gray
iNaturalist,429296,10/14/2013,39.22327805,-76.86177063,gray
iNaturalist,429460,10/13/2013,36.196166,-86.622496,gray
iNaturalist,429876,10/15/2013,37.728507,-122.466715,gray
iNaturalist,432792,2/10/2013,39.00282669,-76.8891449,gray
iNaturalist,434180,9/8/2013,43.918353,-70.494594,gray
iNaturalist,435436,4/12/2009,40.500926,-74.434111,gray
iNaturalist,437660,10/20/2013,39.05668259,-76.72396851,gray
iNaturalist,437806,10/22/2013,40.827453,-73.923225,gray
iNaturalist,437889,10/24/2013,42.389945,-71.13545833,gray
iNaturalist,440927,10/26/2013,43.629741,-72.986747,gray
iNaturalist,441810,10/13/2013,43.232107,-79.060503,melanic
iNaturalist,442594,10/20/2013,34.487302,-79.195716,gray
iNaturalist,442708,10/26/2013,43.630453,-72.985697,gray
iNaturalist,443013,8/5/2013,36.066862,-79.892578,gray
iNaturalist,444161,10/30/2013,42.3895,-71.13527,gray
iNaturalist,444320,10/30/2013,47.657098,-122.305478,gray
iNaturalist,445035,10/30/2013,37.561,-122.321482,gray
iNaturalist,445270,10/16/2013,40.78271,-73.96531,gray
iNaturalist,445811,10/30/2013,37.372015,-122.092266,gray
iNaturalist,445813,10/31/2013,37.372015,-122.092266,gray
iNaturalist,445821,11/1/2013,37.372015,-122.092266,gray
iNaturalist,446119,10/4/2013,38.80049515,-77.47583008,gray
iNaturalist,447351,11/3/2013,41.801331,-73.940166,gray
iNaturalist,447720,10/23/2013,30.328909,-86.155117,gray
iNaturalist,447804,5/7/2008,40.65,-73.95,gray
iNaturalist,447863,11/14/2009,40.714353,-74.005973,gray
iNaturalist,448559,2/15/2012,49.297814,-123.131188,melanic
iNaturalist,448573,2/15/2012,49.299787,-123.119408,gray
iNaturalist,449159,11/5/2013,37.418918,-122.081792,melanic
iNaturalist,450551,11/7/2013,44.341775,-73.101654,gray
iNaturalist,453954,7/2/2010,42.887535,-77.281698,gray
iNaturalist,454509,11/3/2013,39.974106,-83.006891,other
iNaturalist,455329,8/27/2003,38.931295,-77.054393,gray
iNaturalist,455742,11/12/2013,37.372015,-122.092266,gray
iNaturalist,458812,11/15/2013,44.6904696,-73.46757366,gray
iNaturalist,460012,11/16/2013,44.132265,-73.067579,gray
iNaturalist,460311,11/17/2013,43.0417,-87.993214,gray
iNaturalist,460684,11/17/2013,39.99254837,-75.7457699,gray
iNaturalist,462134,11/19/2013,37.386356,-89.008226,gray
iNaturalist,462535,9/30/2013,30.467482,-94.346594,gray
iNaturalist,464215,11/21/2013,43.616183,-72.992199,gray
iNaturalist,464929,11/22/2013,43.99160333,-72.61681333,gray
iNaturalist,465124,11/22/2013,39.27930833,-76.608405,gray
iNaturalist,465995,7/29/2008,42.376551,-71.120381,gray
iNaturalist,467304,7/21/2007,37.815243,-89.016262,gray
iNaturalist,469171,11/27/2013,47.651198,-122.308423,gray
iNaturalist,469981,11/29/2013,41.92146255,-87.70535017,gray
iNaturalist,471804,11/11/2012,37.277889,-82.099022,gray
iNaturalist,472931,11/24/2013,36.971393,-82.557803,gray
iNaturalist,474018,12/3/2013,44.350399,-73.264518,gray
iNaturalist,474547,12/3/2013,44.456789,-73.225851,gray
iNaturalist,475345,12/3/2013,40.832747,-73.881882,melanic
iNaturalist,476104,12/3/2013,37.372015,-122.092266,gray
iNaturalist,479398,12/10/2013,42.387255,-71.12423833,gray
iNaturalist,480068,12/8/2013,41.78834,-77.139911,gray
iNaturalist,480879,12/13/2013,37.769576,-122.470588,gray
iNaturalist,481324,12/14/2013,38.979669,-78.124048,gray
iNaturalist,481391,12/14/2013,35.811784,-78.714917,gray
iNaturalist,482940,12/16/2013,44.144184,-72.657652,gray
iNaturalist,483038,12/17/2013,33.383418,-84.614511,gray
iNaturalist,483148,12/17/2013,41.09081,-81.690472,gray
iNaturalist,483780,12/18/2013,37.769826,-122.470763,gray
iNaturalist,484215,12/19/2013,47.65719,-122.310015,gray
iNaturalist,484924,12/5/2013,44.939742,-93.093467,gray
iNaturalist,486053,12/22/2013,43.709377,-73.033229,gray
iNaturalist,490087,12/29/2013,40.835929,-73.880466,melanic
iNaturalist,491218,12/25/2013,43.136991,-70.651574,gray
iNaturalist,492240,3/13/2013,37.769149,-122.482094,gray
iNaturalist,495124,12/16/2013,38.780055,-77.051004,gray
iNaturalist,496082,1/7/2014,44.71432,-73.33159,gray
iNaturalist,496944,12/27/2013,35.958103,-79.031244,gray
iNaturalist,499696,1/12/2014,41.96310347,-87.63498189,gray
iNaturalist,501113,1/10/2014,25.988451,-81.593665,gray
iNaturalist,501122,1/9/2014,26.573175,-81.824005,gray
iNaturalist,502147,1/12/2014,35.956,-79.02,gray
iNaturalist,502315,8/1/2013,42.377003,-71.11666,gray
iNaturalist,503001,1/11/2014,35.9132,-79.055845,gray
iNaturalist,503134,11/29/2013,35.95233667,-79.01630278,gray
iNaturalist,503186,5/11/2010,38.888444,-77.034643,gray
iNaturalist,503201,11/23/2004,45.424482,-75.701267,melanic
iNaturalist,505016,1/18/2014,39.4301,-77.804161,gray
iNaturalist,505457,1/9/2014,36.090327,-79.838875,gray
iNaturalist,505466,7/24/2012,35.237101,-82.730012,other
iNaturalist,505758,1/20/2014,37.34930359,-121.9396472,gray
iNaturalist,506728,1/21/2014,38.615868,-90.261982,gray
iNaturalist,507238,1/17/2014,40.834176,-73.881968,melanic
iNaturalist,508240,1/1/2014,26.721774,-80.122924,gray
iNaturalist,509408,4/15/2009,29.380216,-95.592942,gray
iNaturalist,513948,1/12/2014,41.142654,-81.60762,melanic
iNaturalist,514273,1/28/2014,44.352762,-73.007755,gray
iNaturalist,515291,1/28/2014,37.372015,-122.092266,gray
iNaturalist,516302,1/27/2014,43.85386,-72.586117,gray
iNaturalist,516672,1/31/2014,43.98596,-73.31357,melanic
iNaturalist,517764,5/9/1990,28.803594,-82.575933,gray
iNaturalist,519314,1/31/2014,36.873956,-80.297742,gray
iNaturalist,520460,2/2/2014,37.242164,-121.967511,gray
iNaturalist,523101,2/6/2014,37.13124,-89.357386,gray
iNaturalist,526198,2/9/2014,39.26330667,-76.58029667,gray
iNaturalist,530045,2/11/2014,41.011068,-81.514033,gray
iNaturalist,530360,2/14/2014,35.92856,-78.966247,gray
iNaturalist,532441,1/29/2013,38.791155,-77.284784,gray
